ID,Plan,Makespan,Cost,Unfairness
664792509,0,1049.22,79909,0.018763
188523822,1,1050.56,79909,0.018661
2056031695,2,1235.48,46650,0.063172
484589713,3,1211.36,46650,0.091167
2109798150,4,1136.32,72423,0.211107
1896828359,5,1012.52,311372,0.005275
536122141,6,1111.37,1380820,0.001245
131206411,7,1121.58,77159,0.197564
1644231115,8,1223.42,47511,0.059550
1965237677,9,1043.86,79909,0.023722
